Y89Di: 89Y_CD45,I127Di: 127I_IdU,Pr141Di: 141Pr_Ly-6G,Nd142Di: 142Nd_CD11c,Nd143Di: 143Nd_CD69,Nd144Di: 144Nd_CD115,Nd145Di: 145Nd_CD45-RB,Nd146Di: 146Nd_CD43,Sm149Di: 149Sm_CD19,Nd150Di: 150Nd_IgD,Eu151Di: 151Eu_IgM,Eu153Di: 153Eu_NKp46,Sm154Di: 154Sm_CD11b,Gd158Di: 158Gd_CD93,Tb159Di: 159Tb_CXCR4,Gd160Di: 160Gd_B220,Dy162Di: 162Dy_Ly-6C,Dy164Di: 164Dy_CX3CR1,Ho165Di: 165Ho_CD3e,Er168Di: 168Er_CD21,Tm169Di: 169Tm_Sca-1,Er170Di: 170Er_NK1.1,Yb172Di: 172Yb_CD4,Yb173Di: 173Yb_CD117,Yb174Di: 174Yb_MHC_II,Lu175Di: 175Lu_CD127,Ir191Di: 191Ir_DNA1,Ir193Di: 193Ir_DNA2,Pt195Di: 195Pt_Viability
7.08331442,3.38202453,0,0.455099225,0,2.03671145,21.7203178,40.9621925,7.53048086,1.33211207,0,0,0.766562998,13.8574734,1.91224051,0,4.482409,0,0.960921824,0,0,0,0.51395601,1.38749695,170.200745,4.3984108,433.330627,861.84137,4.8404088
12.7001638,0,12.1535091,0,1.93746972,0,32.7568436,74.1673965,28.9898853,1.75035059,0.466107965,0,4.9039464,50.2670135,10.0666599,3.20045376,4.83481073,0.870883882,0.851849675,0,0,0,0,0,46.5704765,6.24954128,451.843781,812.836914,5.01844358
0,0.469687432,3.87486053,0,1.23961389,1.40964329,54.8245773,67.522049,9.15739822,2.23560905,0,0,1.70950353,26.3894329,0,3.3577311,8.22924328,2.6000762,0,0,0,0,0,0,15.4872627,11.988759,438.191315,937.065491,5.9580102
19.5141068,0,1.36297715,0,0,0,82.1384125,15.1896496,8.65098572,3.74078774,0,0,2.65364361,0,0,0,7.32403183,0,0,4.67392826,3.06559134,0,2.52263212,0,694.794006,2.05892062,391.959961,747.666199,0.748342335
30.7004089,32.4258652,3.80771542,0.15110153,3.50818682,4.00113726,84.9753113,22.130455,8.40905571,0,2.37604046,0,11.7798538,28.2612476,8.7140007,0,16.0985336,1.44021463,0.435441941,0,0.541767061,0,0,0,24.0378551,7.21863365,438.191315,760.26416,1.62605417
0,0.974640667,0.106784441,0.802597523,0,1.73986959,8.8043642,42.155777,5.8604455,0,0.045764484,0,8.98712063,1.04704058,0,1.33346009,19.6960125,0,2.77292943,0,1.84543216,0,0,0,1.26023984,2.2833693,420.242249,781.739014,7.3720417
42.5501862,4.09460545,2.14119411,0.405662745,0,0,97.4024582,17.9301586,5.2115221,0.442560136,0.589012682,0,0,5.66061497,3.92017937,2.41169238,0,0,0,0,0,0,0.353015393,1.8542341,137.756409,0,388.697784,758.149719,3.85805345
31.5510368,0,0,0,0,0.167956978,112.057388,8.45011902,11.8589211,3.11495423,39.4946899,0,0,0,0,6.40017653,0,0,0,4.06477833,0,0,0,0,53.4180794,0,238.380829,583.73999,0.870883882
11.7966909,5.28986263,7.6042285,0.611702979,0,0,53.3162384,34.3371086,8.51811695,3.24530196,21.2121716,0,0,7.00452375,1.98799801,2.26250315,0,0,0,2.48116493,2.33865976,0,0,0,79.9719543,0,432.123962,806.06958,4.23112583
0,1.52659118,0,2.895051,0,0.14884083,51.7215195,116.593948,21.2156067,0,0,0,0,15.3376799,0,0.287337184,4.88078976,1.48661053,1.3399446,1.63744664,0,0,0.780693948,2.7344501,0,13.9875832,443.107056,786.106934,6.30373049
3.2158227,0,0,0,0,0,2.93683648,25.2158909,5.38287115,2.47282267,0,0,0,14.4024515,0,0,0,0,0,0,0,0,0,0,2.74524546,10.2180233,409.83078,697.404297,2.58413982
