Y89Di: 89Y_CD45,I127Di: 127I_IdU,Pr141Di: 141Pr_Ly-6G,Nd142Di: 142Nd_CD11c,Nd143Di: 143Nd_CD69,Nd144Di: 144Nd_CD115,Nd145Di: 145Nd_CD45-RB,Nd146Di: 146Nd_CD43,Sm149Di: 149Sm_CD19,Nd150Di: 150Nd_IgD,Eu151Di: 151Eu_IgM,Eu153Di: 153Eu_NKp46,Sm154Di: 154Sm_CD11b,Gd158Di: 158Gd_CD93,Tb159Di: 159Tb_CXCR4,Gd160Di: 160Gd_B220,Dy162Di: 162Dy_Ly-6C,Dy164Di: 164Dy_CX3CR1,Ho165Di: 165Ho_CD3e,Er168Di: 168Er_CD21,Tm169Di: 169Tm_Sca-1,Er170Di: 170Er_NK1.1,Yb172Di: 172Yb_CD4,Yb173Di: 173Yb_CD117,Yb174Di: 174Yb_MHC_II,Lu175Di: 175Lu_CD127,Ir191Di: 191Ir_DNA1,Ir193Di: 193Ir_DNA2,Pt195Di: 195Pt_Viability
54.2439957,0,0,2.85399628,0,0.0839049,125.307953,17.072588,12.239645,15.6505146,46.6453056,0.333028018,0,6.46518993,0,2.17335415,0,0,0.091528967,1.01007414,0.908470452,0,0,0,69.6373749,0.267111778,264.146027,547.828857,26.605032
55.4574966,2.89358974,0,1.16263235,0.527509034,0,227.533844,38.5808449,19.2014828,4.80061579,387.463409,9.58124065,0,31.5510368,0,14.4992914,9.30192089,0.54392004,0,0,0,0,0,0,51.9952736,0,262.674683,531.251404,13.9756117
110.776764,0,2.29710388,2.01961756,1.22847664,3.10344625,238.334915,14.2640886,18.2944565,0.856427491,164.915802,2.36158848,0,80.643898,0,16.5672855,0,0,1.19341695,0,0,0,0,0,0,0,302.060913,571.277344,14.4160166
103.318008,0.94355619,4.68675661,0,0.550560176,0,117.234657,16.3385487,7.8252573,0,21.4111519,2.56210566,0.805270314,113.592941,1.6413908,27.6770821,6.04397106,1.07747495,1.37841606,0,1.14764357,0,3.10243773,3.14330387,282.463654,4.14015913,283.254059,488.563171,2.50458574
131.704666,1331.70667,4.74756575,0,3.09380007,1.25229287,318.652557,50.5330925,53.2043343,1.5613879,234.92099,1.03216767,0,50.7629738,0,44.5897942,1.69441664,0.147253171,0,2.15288997,0,0,0,0,100.96669,0.05339222,299.5383,589.112915,7.68962955
48.3020058,264.146027,0,0,0,2.30584002,100.534027,19.4485741,4.69701862,1.41895318,24.032032,0,0,55.7651596,3.95739937,22.8226833,2.85829329,0.062957913,0,0,0,0,0,0.614238322,0,0,349.346497,629.99707,4.26539993
22.2132664,0,0,1.63351095,0,0,159.943909,9.42124844,25.8566494,0,41.3010712,0,0,48.9731712,0,7.41592121,1.68940175,1.31362104,0.473108947,0,0,0.194740847,0.625069439,0,49.3792458,1.9458406,289.65799,522.423157,0
43.1399956,0,0,0,0,0,159.513458,24.9628105,12.0794668,0,156.866089,4.66627073,0,23.6408672,0,18.492094,1.66443133,0,0,0,0,0,1.42914665,0.217720971,143.523911,1.18095315,293.734283,541.741211,5.43531561
83.8454361,0,0,2.86761284,0.712379217,1.72933209,253.792358,22.1857929,16.7455215,2.48553205,169.096069,6.65125799,0,10.5941801,0.257838309,27.6017895,0.543159366,0,0,0.051502064,5.80195808,0,0.195503801,0,38.610218,0,305.457733,544.776489,13.8095198
84.3131714,0,1.02351463,0,0,4.30989981,233.187897,14.6480637,31.2079201,2.23611045,220.321136,2.31324196,1.49264538,0,0,14.5765953,2.97975802,0,0,0,1.31033647,0,0,2.82334566,107.889725,0.045764484,236.235748,372.793579,0.56479013
