Y89Di: 89Y_CD45,I127Di: 127I_IdU,Pr141Di: 141Pr_Ly-6G,Nd142Di: 142Nd_CD11c,Nd143Di: 143Nd_CD69,Nd144Di: 144Nd_CD115,Nd145Di: 145Nd_CD45-RB,Nd146Di: 146Nd_CD43,Sm149Di: 149Sm_CD19,Nd150Di: 150Nd_IgD,Eu151Di: 151Eu_IgM,Eu153Di: 153Eu_NKp46,Sm154Di: 154Sm_CD11b,Gd158Di: 158Gd_CD93,Tb159Di: 159Tb_CXCR4,Gd160Di: 160Gd_B220,Dy162Di: 162Dy_Ly-6C,Dy164Di: 164Dy_CX3CR1,Ho165Di: 165Ho_CD3e,Er168Di: 168Er_CD21,Tm169Di: 169Tm_Sca-1,Er170Di: 170Er_NK1.1,Yb172Di: 172Yb_CD4,Yb173Di: 173Yb_CD117,Yb174Di: 174Yb_MHC_II,Lu175Di: 175Lu_CD127,Ir191Di: 191Ir_DNA1,Ir193Di: 193Ir_DNA2,Pt195Di: 195Pt_Viability
0,5.50505686,80.8631058,0.338984609,0,0,0,242.375107,0,9.86660957,1.24435008,0,10.1674519,0,0,0.017162042,24.8696384,0,0,0.124199115,0,0,0,0,0,0,337.252686,611.965881,2.63197494
1.20531452,11.6426191,190.67157,0,0,0,4.29973698,9.71548939,0,1.03965712,0.64292258,0,0,0.351213694,0,0,1.70950353,11.182539,1.56560481,0,0,0,0,0,0,0.061025649,621.250366,1142.55469,0.396746516
3.54031277,0.413842887,19.7555656,0.775861561,3.62417364,1.44701791,9.22898579,21.2650318,0,0.962898612,0,0,20.9680252,4.35588551,0,0,96.3378067,161.67778,0,0,3.60931683,0,0,0,9.22284222,0,483.138824,903.687561,12.1535091
13.7130623,78.8702545,25.7265816,6.40017653,0.305149198,1.11809468,1.6881597,413.272034,0.771041632,1.2704308,0,0,158.179565,0,0,5.81652069,388.549683,1.10112035,0,0.124199115,3.02198553,0,0,0,14.7904282,0,446.830322,786.106934,1.79705179
4.46058607,32.7827263,27.9159012,3.90012002,0,1.79106319,0.473108947,44.3050156,0,7.14364147,0,0,10.5797253,5.54998779,0,0,21.2438278,40.168808,1.50073123,0,0,0,0,0.193567097,0,0,614.341064,1139.36621,8.30269051
47.5089569,10.7899361,80.6526031,2.71503973,0,3.7084682,7.92723322,222.444443,0,7.39299107,0,0,59.2593269,0,0.64292258,0,177.286713,0,0.274753034,0,0,0,0,0,5.18904066,0,314.605377,634.479492,4.59420776
42.3165703,5.23749542,103.497833,2.39463615,0.244102597,0,1.44021463,305.133972,2.1376667,9.86660957,0,0,67.9411545,0,0,0,524.368713,2.88847232,1.17304623,0.403621227,0,0,2.95780087,3.12477064,7.62729406e-3,0,410.97464,719.084778,0.076273754
203.745926,3.17754674,59.4790726,12.4020634,26.7331123,9.58124065,49.6745949,421.415436,0,10.4302874,0,2.40939403,39.5573273,1.10992765,0,0.349000752,2088.05444,19.8963661,0.228916943,0.842196882,12.4020634,12.1753073,0.763834953,0,11.388854,0.198569342,651.498108,1126.7019,3.80771542
39.5044479,4.24732447,173.433472,5.15999174,0,0.04195245,10.1712084,383.321655,0.261760145,0,0,0,19.2904224,0,3.62350011,0,360.266998,10.5352945,0,0,0,0,0,0,0,0,315.481018,650.554993,1.00894451
20.1553116,37.0859642,110.580719,3.60931683,0.12204022,0.642053008,1.08574963,138.134399,0,3.69073176,1.44423616,0,73.1611023,0,0,0,115.935799,0,0,0,0.365088165,0,0,0.742379308,7.43459892,0,286.252014,547.637329,13.0366678
29.3880634,8.87737083,165.204285,0,0,0,7.99275017,145.921265,0,1.87500203,0,0,40.8577919,1.06274152,0,0,401.826263,7.43498373,0,0,3.60061288,7.32188177,0,0,15.4122763,0,293.495544,559.930847,2.48870015
5.81652069,157.940308,64.8923492,0,0.183067217,0,0,161.976578,0,0,0.720107317,0,12.1404209,0,0.206008255,0,101.245926,0,1.68818402,0,2.34974813,0,0,0,0,0,320.786957,639.792847,3.82448101
8.67334461,10.7336178,50.9434738,0,0.595363319,0,9.20504665,96.9000168,0,3.89168119,0,0,89.4256668,0,0,0,52.4212074,3.80771542,0,0,0,0,0.756655931,0,0,0,288.646179,534.133667,5.34377813
14.6933632,1.16263235,76.9614029,0.594010115,0,0.360053658,0.061018754,358.542999,1.05471194,1.78147912,0,0,40.3106232,0,0,0,163.091599,1.30126345,0,0,0,0,0,1.22081995,0,0,297.59964,538.596985,0.198325157
25.3693676,19.7254562,50.8150291,0,0.855557561,1.36801946,4.40312767,312.86145,1.83666909,0.855557561,0.976550996,1.95310199,78.7920303,0,0,0,383.148743,3.84126043,0,0.867395341,0,0,0,0,0,0,240.369553,528.240784,9.44635391
31.985384,33.5085754,76.761673,0.867395341,0,0,0.152552843,189.512299,0,0,0.236554474,0,128.093262,2.95057678,0.914107203,0,167.225098,3.50818682,0.797516108,0,0,3.31765485,0,1.42563808,4.7597928,0,283.091064,577.292358,0.625943542
15.2107878,0.887813628,115.994331,2.07782435,1.40930665,7.34175777,12.6036625,304.287384,0,10.7745056,0,0,45.8932571,6.42476797,0,0,384.22287,0.335677624,0,0,0,0,3.27023506,0,9.92465973,0,283.87796,610.267944,3.03383636
53.7959213,1.88983667,111.168922,3.94779015,4.38585567,0.661984384,5.73184061,256.186523,0,7.68962955,0,0,123.560516,3.45943761,0,0,359.260193,3.42570996,2.61730742,0,1.57927155,0,0,0,12.9560938,0,337.252686,645.151184,1.17802536
24.5559444,24.1593723,74.2147141,4.65096045,1.70369935,1.01092625,15.7785521,241.704712,4.17530489,12.4219265,0,0.79427737,49.3792458,9.99540138,1.49264538,0,214.262146,3.45866418,0,0.051502064,2.04367542,0,0,0.259798825,111.921486,3.22014022,576.086975,1092.60095,4.12867069
4.95930862,2.49885035,43.3861694,0,3.21264887,1.94388986,0,261.93222,0,1.20881224,0,0,16.6029701,0,0,0,169.567108,0.778963387,0,0,0,0,0,4.99628448,2.3936789,0,555.535278,1065.47473,17.5936432
27.3027191,40.9421043,22.4016304,2.72149396,0,0.252236128,7.3720417,173.035812,1.88983667,6.49933481,1.14145708,0,72.9606323,0.696929574,0.251831651,1.45034575,152.566986,0,4.68675661,0,0,0,0,0,11.3078642,0,320.786957,611.965881,1.59503222
7.41592121,57.0132446,62.6020584,1.72618997,0.625943542,5.85947418,1.51756418,154.581863,0,0,0.696929574,0,22.7412395,0,0,1.56406391,29.7011566,0,0,0,0,0,0,0,3.40893507,0,267.066833,543.098083,0.549506068
18.4424763,17.9057465,54.6855812,8.87737083,4.40312767,0,7.20556593,174.471375,0,0.595363319,0,0.58007586,55.960743,0,0,0,86.7564926,0,0,0.849719286,1.3235122,0,0,0,7.72263718,0,704.582764,1225.25171,12.3618479
6.54745722,3.293854,63.9000092,0,3.29436564,0,0.702427387,110.708328,0,8.3925457,0,0,3.95400095,0,0,0,62.9297943,2.10977864,0,2.00531459,1.36364985,0,1.24592423,0,5.30728722,0,289.44873,543.098083,11.6883278
45.5838356,151.453278,45.2678108,9.59520912,1.00894451,2.26557064,6.97982359,58.4616394,0.126118064,0,1.07845616,2.85627842,149.628738,0,0,0.69554472,163.091599,5.25275755,0.381825864,0,0,0,0,0,2.88465261,0,342.929108,680.157898,0
43.3782463,151.877274,52.9126587,2.33865976,0,0.774677396,4.71687508,149.98172,0.802597523,5.61998606,0,0,68.1275101,0,0,0,147.155869,0,1.58187628,0,0,0,0.041959703,0.240230456,8.31129742,0,299.257477,617.088562,5.56435776
37.5985184,26.7873497,99.216507,8.02862167,9.91690922,13.9875832,11.602766,740.984741,0,18.0146294,0,0,54.1612167,1.28410602,2.57209992,5.8604455,199.283722,9.51958561,0,0,0,0,1.25543392,3.63556385,21.3711834,0,502.394196,963.584473,13.9422493
2.36088967,20.3190041,41.2799339,2.60154319,4.64667559,0,2.40939403,113.766922,0,0.061018754,1.92063022,0,14.2389355,0,0,0.419993013,66.1060257,0,0,0,0.827245653,0,0,1.80200207,1.9458406,0,696.740784,1208.24365,2.75992656
10.7055759,27.3027191,28.5281773,0,0,1.19242764,8.03660202,129.349091,0,0,0,0,10.9826679,0,0,0,70.9866028,0,0,0,0,0,0,0,0.581318676,0.398758054,616.061096,1013.23987,16.6225948
